source_system,source_ref,category,entity_type,plate,person_ref,severity,valid_from,valid_to,active,make,model,colour,owner_ref,rc_status,dl_no,holder_ref,dl_valid_to,fir_ref,police_station,wanted_status,subject_ref,note,provenance
VAHAN,VH-STO-0001,stolen_vehicle,vehicle,GJ18Y9407,,high,2026-01-01T00:00:00Z,,true,Toyota,Innova,maroon,VAHAN-OWNER-1726,active,,,,FIR/2026/668,Ghatlodia PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0002,stolen_vehicle,vehicle,GJ14BU4678,,high,2026-01-01T00:00:00Z,,true,Maruti Suzuki,Alto,white,VAHAN-OWNER-3573,active,,,,FIR/2026/704,Maninagar PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0003,stolen_vehicle,vehicle,GJ14XU1699,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Hyundai,i20,brown,VAHAN-OWNER-0797,active,,,,FIR/2026/817,Naroda PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0004,stolen_vehicle,vehicle,GJ38U1617,,high,2026-01-01T00:00:00Z,,true,Maruti Suzuki,Alto,yellow,VAHAN-OWNER-6373,active,,,,FIR/2024/741,Vastrapur PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0005,stolen_vehicle,vehicle,GJ13J7973,,high,2026-01-01T00:00:00Z,,true,Tata,Ace,yellow,VAHAN-OWNER-1078,active,,,,FIR/2024/236,Sabarmati PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0006,stolen_vehicle,vehicle,MH12BF2551,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Mahindra,Scorpio,yellow,VAHAN-OWNER-3356,active,,,,FIR/2026/838,Ranip PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0007,stolen_vehicle,vehicle,MH12RQ8990,,high,2026-01-01T00:00:00Z,,true,Hero,Splendor,brown,VAHAN-OWNER-0445,active,,,,FIR/2024/848,Vastrapur PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0008,stolen_vehicle,vehicle,GJ25CT7502,,high,2026-01-01T00:00:00Z,,true,Ashok Leyland,Dost,blue,VAHAN-OWNER-9394,active,,,,FIR/2025/908,Ghatlodia PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0009,stolen_vehicle,vehicle,MP04T3321,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Mahindra,Bolero,black,VAHAN-OWNER-1078,active,,,,FIR/2024/054,Vastrapur PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0010,stolen_vehicle,vehicle,GJ02DD9941,,high,2026-01-01T00:00:00Z,2026-06-01T00:00:00Z,true,Honda,City,red,VAHAN-OWNER-8501,active,,,,FIR/2024/260,Ranip PS,stolen,,synthetic stolen vehicle record — window closed,synthetic
VAHAN,VH-STO-0011,stolen_vehicle,vehicle,RJ39VY9882,,high,2026-01-01T00:00:00Z,,true,TVS,Jupiter,grey,VAHAN-OWNER-8335,active,,,,FIR/2025/093,Naroda PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0012,stolen_vehicle,vehicle,GJ08FS1404,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Hero,Splendor,maroon,VAHAN-OWNER-1569,active,,,,FIR/2024/176,Odhav PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0013,stolen_vehicle,vehicle,RJ45SV7618,,high,2026-01-01T00:00:00Z,,true,Eicher,Pro 2049,black,VAHAN-OWNER-0167,active,,,,FIR/2026/113,Ranip PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0014,stolen_vehicle,vehicle,RJ45XX8080,,high,2026-01-01T00:00:00Z,,true,Eicher,Pro 2049,brown,VAHAN-OWNER-1647,active,,,,FIR/2025/931,Odhav PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0015,stolen_vehicle,vehicle,GJ37VD4933,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Hero,Splendor,grey,VAHAN-OWNER-9352,active,,,,FIR/2025/150,Bopal PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0016,stolen_vehicle,vehicle,GJ28AS7638,,high,2026-01-01T00:00:00Z,,true,Mahindra,Bolero,white,VAHAN-OWNER-2518,active,,,,FIR/2024/386,Satellite PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0017,stolen_vehicle,vehicle,GJ10UV8997,,critical,2026-01-01T00:00:00Z,,true,Maruti Suzuki,Ertiga,brown,VAHAN-OWNER-0655,active,,,,FIR/2026/323,Ranip PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0018,stolen_vehicle,vehicle,GJ31CD2478,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Hyundai,i20,blue,VAHAN-OWNER-0352,active,,,,FIR/2026/790,Ranip PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0019,stolen_vehicle,vehicle,GJ31YM3305,,high,2026-01-01T00:00:00Z,,true,Honda,City,red,VAHAN-OWNER-4778,active,,,,FIR/2026/011,Navrangpura PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0020,stolen_vehicle,vehicle,GJ33YQ6863,,high,2026-01-01T00:00:00Z,2026-06-01T00:00:00Z,true,Maruti Suzuki,Alto,white,VAHAN-OWNER-7591,active,,,,FIR/2026/605,Satellite PS,stolen,,synthetic stolen vehicle record — window closed,synthetic
VAHAN,VH-STO-0021,stolen_vehicle,vehicle,GJ09M2384,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Hero,Splendor,red,VAHAN-OWNER-4821,active,,,,FIR/2026/402,Navrangpura PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0022,stolen_vehicle,vehicle,GJ36MP3038,,high,2026-01-01T00:00:00Z,,true,Maruti Suzuki,Ertiga,blue,VAHAN-OWNER-0559,active,,,,FIR/2025/588,Bopal PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0023,stolen_vehicle,vehicle,GJ17WN8527,,high,2026-01-01T00:00:00Z,,true,TVS,Jupiter,grey,VAHAN-OWNER-3457,active,,,,FIR/2026/427,Bopal PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0024,stolen_vehicle,vehicle,GJ15PR7983,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Mahindra,Bolero,white,VAHAN-OWNER-5880,active,,,,FIR/2024/363,Satellite PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0025,stolen_vehicle,vehicle,GJ12DG3759,,high,2026-01-01T00:00:00Z,,true,Mahindra,Bolero,white,VAHAN-OWNER-1264,active,,,,FIR/2024/625,Maninagar PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0026,stolen_vehicle,vehicle,GJ11NQ4890,,high,2026-01-01T00:00:00Z,,true,Tata,Nexon,black,VAHAN-OWNER-8498,active,,,,FIR/2026/322,Ranip PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0027,stolen_vehicle,vehicle,GJ30UM8175,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Maruti Suzuki,Swift,red,VAHAN-OWNER-5459,active,,,,FIR/2025/713,Naroda PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0028,stolen_vehicle,vehicle,GJ30UA5161,,high,2026-01-01T00:00:00Z,,true,Hyundai,i20,grey,VAHAN-OWNER-9223,active,,,,FIR/2025/695,Ghatlodia PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0029,stolen_vehicle,vehicle,GJ34CD6161,,high,2026-01-01T00:00:00Z,,true,Hyundai,Creta,silver,VAHAN-OWNER-0416,active,,,,FIR/2024/232,Odhav PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0030,stolen_vehicle,vehicle,GJ30RS8567,,high,2026-01-01T00:00:00Z,2026-06-01T00:00:00Z,true,Tata,Nexon,grey,VAHAN-OWNER-3344,active,,,,FIR/2024/159,Vastrapur PS,stolen,,synthetic stolen vehicle record — window closed,synthetic
VAHAN,VH-STO-0031,stolen_vehicle,vehicle,GJ24TF5304,,high,2026-01-01T00:00:00Z,,true,Mahindra,Scorpio,black,VAHAN-OWNER-5911,active,,,,FIR/2026/069,Navrangpura PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0032,stolen_vehicle,vehicle,GJ03PZ9067,,high,2026-01-01T00:00:00Z,,true,Ashok Leyland,Dost,white,VAHAN-OWNER-5368,active,,,,FIR/2025/884,Maninagar PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0033,stolen_vehicle,vehicle,GJ14DB3715,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,TVS,Jupiter,maroon,VAHAN-OWNER-8449,active,,,,FIR/2024/855,Maninagar PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0034,stolen_vehicle,vehicle,GJ27BB3808,,critical,2026-01-01T00:00:00Z,,true,Hyundai,Creta,silver,VAHAN-OWNER-6208,active,,,,FIR/2026/704,Naroda PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0035,stolen_vehicle,vehicle,RJ39D4068,,high,2026-01-01T00:00:00Z,,true,Eicher,Pro 2049,silver,VAHAN-OWNER-2746,active,,,,FIR/2026/457,Naroda PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0036,stolen_vehicle,vehicle,GJ29UZ7089,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Tata,Nexon,white,VAHAN-OWNER-6434,active,,,,FIR/2025/811,Vastrapur PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0037,stolen_vehicle,vehicle,GJ12KL1420,,high,2026-01-01T00:00:00Z,,true,Ashok Leyland,Dost,blue,VAHAN-OWNER-2484,active,,,,FIR/2024/740,Navrangpura PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0038,stolen_vehicle,vehicle,GJ36D1057,,high,2026-01-01T00:00:00Z,,true,Hyundai,Creta,red,VAHAN-OWNER-3038,active,,,,FIR/2024/056,Ghatlodia PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0039,stolen_vehicle,vehicle,GJ06QD9962,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Toyota,Innova,red,VAHAN-OWNER-8254,active,,,,FIR/2026/425,Navrangpura PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0040,stolen_vehicle,vehicle,GJ22EN5493,,high,2026-01-01T00:00:00Z,2026-06-01T00:00:00Z,true,Mahindra,Bolero,grey,VAHAN-OWNER-1143,active,,,,FIR/2025/428,Odhav PS,stolen,,synthetic stolen vehicle record — window closed,synthetic
VAHAN,VH-STO-0041,stolen_vehicle,vehicle,RJ45RU2131,,high,2026-01-01T00:00:00Z,,true,Honda,City,grey,VAHAN-OWNER-7286,active,,,,FIR/2025/032,Odhav PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0042,stolen_vehicle,vehicle,GJ05S4513,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Hyundai,Creta,red,VAHAN-OWNER-7078,active,,,,FIR/2025/811,Bopal PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0043,stolen_vehicle,vehicle,GJ10S3430,,high,2026-01-01T00:00:00Z,,true,Hero,Splendor,yellow,VAHAN-OWNER-8961,active,,,,FIR/2026/687,Odhav PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0044,stolen_vehicle,vehicle,GJ37UY3599,,high,2026-01-01T00:00:00Z,,true,Eicher,Pro 2049,red,VAHAN-OWNER-6124,active,,,,FIR/2025/513,Bopal PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0045,stolen_vehicle,vehicle,GJ28FY8225,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Tata,Nexon,grey,VAHAN-OWNER-5534,active,,,,FIR/2025/506,Maninagar PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0046,stolen_vehicle,vehicle,GJ06C2762,,high,2026-01-01T00:00:00Z,,true,TVS,Jupiter,brown,VAHAN-OWNER-6252,active,,,,FIR/2024/978,Odhav PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0047,stolen_vehicle,vehicle,GJ01F3670,,high,2026-01-01T00:00:00Z,,true,Tata,Nexon,brown,VAHAN-OWNER-2202,active,,,,FIR/2025/643,Naroda PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0048,stolen_vehicle,vehicle,GJ06WD1481,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,TVS,Jupiter,white,VAHAN-OWNER-2610,active,,,,FIR/2025/490,Maninagar PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0049,stolen_vehicle,vehicle,GJ20B6816,,high,2026-01-01T00:00:00Z,,true,Maruti Suzuki,Alto,white,VAHAN-OWNER-6694,active,,,,FIR/2025/033,Navrangpura PS,stolen,,synthetic stolen vehicle record,synthetic
